id,"title","text","tags"
,"Proof, not offsets — creating local value","Proof, not offsets, creating local value. We route youth demand to values-aligned local businesses and show the impact.","[""hero"",""mission"",""values"",""faq""]"
,"ECO Local in one line","Local rewards for youth that grow responsible, community-first businesses.","[""positioning"",""hero"",""faq""]"
,"What is ECO Local? (short)","Local rewards for youth that grow responsible, community-first businesses. Proof, not offsets—creating local value.","[""faq"",""positioning"",""values"",""hero""]"
,"What is ECO Local? (expanded)","ECO Local routes youth demand to values-aligned small businesses. Youth browse a map/catalogue, redeem in-store by scanning a QR, and see real impact. Stores get visits, analytics, and full control over limits.","[""faq"",""positioning"",""mechanics"",""impact""]"
,"Who ECO Local serves (youth)","Youth ages ~16–30 (no ID required). Free forever.","[""youth"",""eligibility"",""pricing"",""faq""]"
,"Who can join as youth?","Ages ~16–30. No ID check required; it’s guidance on who we design for. Free forever.","[""faq"",""youth"",""eligibility"",""pricing""]"
,"Who ECO Local serves (business)","Independents and local-first operators who align to our values. Franchises welcomed if store-level practices are responsible.","[""business"",""eligibility"",""values"",""faq""]"
,"What counts as a local business?","Independent and local-first operators. Franchises are welcome if the specific store runs responsibly and aligns with our values.","[""faq"",""business"",""eligibility"",""values""]"
,"Exclusions","We exclude anything promoting linear economies, over-consumption, irresponsible activities, or destructive practices.","[""values"",""policy"",""exclusions"",""faq""]"
,"Exclusions (business/content)","We exclude anything promoting linear economies, over-consumption, irresponsible activities, or destructive practices.","[""faq"",""values"",""policy"",""exclusions""]"
,"Geography (pilot)","Sunshine Coast launch; expanding regionally with cafés, thrift, and organic stores first.","[""geo"",""pilot"",""categories"",""faq""]"
,"Launch geography","Pilot on the Sunshine Coast. Expansion staged by demand and partner readiness.","[""faq"",""geo"",""pilot""]"
,"Category focus (launch)","Cafés, thrift, organics; then expand to grocers, venues, services.","[""categories"",""pilot"",""growth"",""faq""]"
,"Category focus at launch","Cafés, thrift/vintage, and organic stores come first; then grocers, venues, and local services.","[""faq"",""categories"",""pilot""]"
,"Values (non-negotiables)","1) Create for people. 2) Build what regenerates and lasts. 3) Do what hasn’t been done.","[""values"",""policy"",""faq""]"
,"How youth discover offers","Browse web/app catalogue, explore the map, or scan in-store posters/QR. Search by category or nearby.","[""mechanics"",""youth"",""discovery"",""map"",""faq""]"
,"Youth discovery","Browse web/app catalogue, explore the map, or scan in-store posters/QR.","[""mechanics"",""youth"",""discovery"",""map"",""faq""]"
,"How redemption works (in-store)","At purchase, youth open ECO Local, scan the store’s QR, and the reward is applied by the store. The app records the event for analytics and fraud prevention.","[""faq"",""mechanics"",""redemption"",""qr""]"
,"Youth redemption flow","At purchase: scan the store’s ECO Local QR. App records time, place, user and offer; store honors reward.","[""mechanics"",""redemption"",""qr"",""faq""]"
,"Redemption limits","Businesses control daily caps, per-user caps, cooldowns; we also enforce a global anti-cheat cooldown.","[""mechanics"",""redemption"",""anti-fraud"",""faq""]"
,"Redemption limits & caps","Businesses control per-day caps, per-user caps, time windows, and cooldowns. A global baseline cooldown exists to reduce abuse.","[""faq"",""mechanics"",""controls"",""anti-fraud""]"
,"What data is captured at redemption?","Geolocation (at/near store), timestamp, user ID, device ID, business ID, offer claimed, ECO used/earned, and approximate savings.","[""faq"",""data"",""analytics"",""privacy""]"
,"Data captured at redemption","Geolocation, timestamp, user ID, device ID, business ID, offer claimed, ECO used/earned, approx. savings.","[""data"",""analytics"",""privacy"",""faq""]"
,"Privacy baseline","We sell zero personal data. Limited telemetry via subprocessors; AU-first where practical.","[""privacy"",""trust"",""legal"",""faq""]"
,"Privacy baseline (expanded)","We do not sell personal data. Limited telemetry from subprocessors may occur to operate the service. AU-first storage where practical.","[""faq"",""privacy"",""trust""]"
,"Who are your subprocessors? (summary)","Hosting: Vercel & Google Cloud; Email: AWS SES; DB: Neo4j; Maps: OSM/CARTO/Esri; Weather: Open-Meteo; Auth: Google; LLM: OpenAI (no training).","[""privacy"",""trust"",""legal"",""subprocessors"",""faq""]"
